"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
4	NA	0	0	0	0	0	0	0	0	0	1	0	0
15	21.8	0	0	0	0	0	0	0	0	0	1	0	0
1.7	17.7	0	0	0	0	0	0	0	0	0	1	0	0
26.5	26.5	0	0	0	0	0	0	0	0	0	1	0	0
11.1	18.9	0	0	0	0	0	0	0	0	0	1	0	0
1.2	1.2	0	0	0	0	0	0	0	0	0	1	0	0
23	33	0	0	0	0	0	0	0	0	0	1	0	0
37.3	37.3	0	0	0	0	0	0	0	0	0	1	0	0
90.4	558.2	0	0	0	0	0	0	0	0	0	1	0	0
94	391.9	0	0	0	0	0	0	0	0	0	1	0	0
51.7	56.8	0	0	0	0	0	0	0	0	0	1	0	0
33	42.8	0	0	0	0	0	0	0	0	0	1	0	0
12.9	22.8	0	0	0	0	0	0	0	0	0	1	0	0
28.5	58.7	0	0	0	0	0	0	0	0	0	1	0	0
22.2	22.3	0	0	0	0	0	0	0	0	0	1	0	0
826.1	NA	0	0	0	0	0	0	0	0	0	1	0	0
902.4	2417	0	0	0	0	0	0	0	0	0	1	0	0
627.4	847.7	0	0	0	0	0	0	0	0	0	1	0	0
528.1	1391.4	0	0	0	0	0	0	0	0	0	1	0	0
1007.9	2386.27	0	0	0	0	0	0	0	0	0	1	0	0
81.8	135.11	0	0	0	0	0	0	0	0	0	1	0	0
238.6	334.13	0	0	0	0	0	0	0	0	0	1	0	0
1084	3119.81	0	0	0	0	0	0	0	0	0	1	0	0
1966.3	6134.15	0	0	0	0	0	0	0	0	0	1	0	0
1410.4	5142.53	0	0	0	0	0	0	0	0	0	1	0	0
1533.2	5638.13	0	0	0	0	0	0	0	0	0	1	0	0
2526.7	8519.35	0	0	0	0	0	0	0	0	0	1	0	0
1185.5	4252.06	0	0	0	0	0	0	0	0	0	1	0	0
1636.5	6336.99	0	0	0	0	0	0	0	0	0	1	0	0
1018.2	2756.94	0	0	0	0	0	0	0	0	0	1	0	0
772.7	NA	0	0	0	0	0	0	0	0	0	1	0	0
534	1724.7	0	0	0	0	0	0	0	0	0	1	0	0
92	160.5	0	0	0	0	0	0	0	0	0	1	0	0
295.2	573	0	0	0	0	0	0	0	0	0	1	0	0
291	543.03	0	0	0	0	0	0	0	0	0	1	0	0
29.6	36.56	0	0	0	0	0	0	0	0	0	1	0	0
45.8	50.45	0	0	0	0	0	0	0	0	0	1	0	0
372.4	679.19	0	0	0	0	0	0	0	0	0	1	0	0
892.4	2224.73	0	0	0	0	0	0	0	0	0	1	0	0
1231.2	3834.23	0	0	0	0	0	0	0	0	0	1	0	0
759.8	1670.93	0	0	0	0	0	0	0	0	0	1	0	0
1824.9	5961.14	0	0	0	0	0	0	0	0	0	1	0	0
531.2	1204.07	0	0	0	0	0	0	0	0	0	1	0	0
1203.1	3367.21	0	0	0	0	0	0	0	0	0	1	0	0
580.2	1187.5	0	0	0	0	0	0	0	0	0	1	0	0
481.19	NA	0	0	0	0	0	0	0	1	0	0	0	0
328.22	1020.61	0	0	0	0	0	0	0	1	0	0	0	0
232.56	697.89	0	0	0	0	0	0	0	1	0	0	0	0
368.49	1229.15	0	0	0	0	0	0	0	1	0	0	0	0
651.85	3077.85	0	0	0	0	0	0	0	1	0	0	0	0
206.39	1217.39	0	0	0	0	0	0	0	1	0	0	0	0
517.91	NA	0	0	0	0	0	0	0	1	0	0	0	0
466.83	986.6	0	0	0	0	0	0	0	1	0	0	0	0
313.52	747.32	0	0	0	0	0	0	0	1	0	0	0	0
349.07	1077.13	0	0	0	0	0	0	0	1	0	0	0	0
260.4	646.4	0	0	0	0	0	0	0	1	0	0	0	0
89.01	234.01	0	0	0	0	0	0	0	1	0	0	0	0
35	NA	0	1	0	0	0	0	0	0	0	0	0	0
35	60.05	0	1	0	0	0	0	0	0	0	0	0	0
6	15.49	0	1	0	0	0	0	0	0	0	0	0	0
35.03	60.27	0	1	0	0	0	0	0	0	0	0	0	0
3.5	58.28	0	1	0	0	0	0	0	0	0	0	0	0
3.5	32.5	0	1	0	0	0	0	0	0	0	0	0	0
35	178.06	0	1	0	0	0	0	0	0	0	0	0	0
1.5	62.42	0	1	0	0	0	0	0	0	0	0	0	0
7.5	45.22	0	1	0	0	0	0	0	0	0	0	0	0
15.03	99.63	0	1	0	0	0	0	0	0	0	0	0	0
15	72.55	0	1	0	0	0	0	0	0	0	0	0	0
2.53	12.94	0	1	0	0	0	0	0	0	0	0	0	0
9	32.2	0	1	0	0	0	0	0	0	0	0	0	0
22.1	33.06	0	1	0	0	0	0	0	0	0	0	0	0
19	35.49	0	1	0	0	0	0	0	0	0	0	0	0
2.5	3.26	0	1	0	0	0	0	0	0	0	0	0	0
9.03	12.41	0	1	0	0	0	0	0	0	0	0	0	0
3.52	3.99	0	1	0	0	0	0	0	0	0	0	0	0
26.57	34.89	0	1	0	0	0	0	0	0	0	0	0	0
18.11	38.63	0	1	0	0	0	0	0	0	0	0	0	0
41.07	45.46	0	1	0	0	0	0	0	0	0	0	0	0
357.25	NA	0	0	1	0	0	0	0	0	0	0	0	0
715.05	1308.89	0	0	1	0	0	0	0	0	0	0	0	0
406	760.82	0	0	1	0	0	0	0	0	0	0	0	0
261.6	415.47	0	0	1	0	0	0	0	0	0	0	0	0
312.9	737.24	0	0	1	0	0	0	0	0	0	0	0	0
370.7	566.68	0	0	1	0	0	0	0	0	0	0	0	0
677.45	1521.05	0	0	1	0	0	0	0	0	0	0	0	0
138.8	176.45	0	0	1	0	0	0	0	0	0	0	0	0
509.38	784.77	0	0	1	0	0	0	0	0	0	0	0	0
769.34	1253.94	0	0	1	0	0	0	0	0	0	0	0	0
808.36	1385.87	0	0	1	0	0	0	0	0	0	0	0	0
766.95	1143.27	0	0	1	0	0	0	0	0	0	0	0	0
423.17	644.73	0	0	1	0	0	0	0	0	0	0	0	0
615.1	2233.2	0	0	1	0	0	0	0	0	0	0	0	0
528.39	774.89	0	0	1	0	0	0	0	0	0	0	0	0
305.17	306.18	0	0	1	0	0	0	0	0	0	0	0	0
164.2	164.3	0	0	1	0	0	0	0	0	0	0	0	0
191.85	235.48	0	0	1	0	0	0	0	0	0	0	0	0
703.76	1056.91	0	0	1	0	0	0	0	0	0	0	0	0
572.3	710.55	0	0	1	0	0	0	0	0	0	0	0	0
876.18	1211.59	0	0	1	0	0	0	0	0	0	0	0	0
204.48	NA	0	0	1	0	0	0	0	0	0	0	0	0
480.55	1857.25	0	0	1	0	0	0	0	0	0	0	0	0
210.9	790.78	0	0	1	0	0	0	0	0	0	0	0	0
537.03	2268.59	0	0	1	0	0	0	0	0	0	0	0	0
416.08	1494.36	0	0	1	0	0	0	0	0	0	0	0	0
568.18	1364.35	0	0	1	0	0	0	0	0	0	0	0	0
2822.73	6628.07	0	0	1	0	0	0	0	0	0	0	0	0
1509.23	2938.38	0	0	1	0	0	0	0	0	0	0	0	0
1139.5	4485.55	0	0	1	0	0	0	0	0	0	0	0	0
1182.3	4249.94	0	0	1	0	0	0	0	0	0	0	0	0
753.7	3544.64	0	0	1	0	0	0	0	0	0	0	0	0
1023.9	6112.82	0	0	1	0	0	0	0	0	0	0	0	0
400.93	926.59	0	0	1	0	0	0	0	0	0	0	0	0
1021.29	1508.33	0	0	1	0	0	0	0	0	0	0	0	0
853.86	3581.34	0	0	1	0	0	0	0	0	0	0	0	0
740.11	3615.58	0	0	1	0	0	0	0	0	0	0	0	0
403.27	984.04	0	0	1	0	0	0	0	0	0	0	0	0
638.85	1240.06	0	0	1	0	0	0	0	0	0	0	0	0
1429.76	6073.83	0	0	1	0	0	0	0	0	0	0	0	0
1448.58	9159.52	0	0	1	0	0	0	0	0	0	0	0	0
954.62	2854.81	0	0	1	0	0	0	0	0	0	0	0	0
260.61	NA	0	1	0	0	0	0	0	0	0	0	0	0
545.29	1184.32	0	1	0	0	0	0	0	0	0	0	0	0
351.38	1202.64	0	1	0	0	0	0	0	0	0	0	0	0
781.08	1810.23	0	1	0	0	0	0	0	0	0	0	0	0
283.41	1085.04	0	1	0	0	0	0	0	0	0	0	0	0
1571.37	3052.16	0	1	0	0	0	0	0	0	0	0	0	0
3910.09	16054.13	0	1	0	0	0	0	0	0	0	0	0	0
763.13	3594.02	0	1	0	0	0	0	0	0	0	0	0	0
939.85	3059.85	0	1	0	0	0	0	0	0	0	0	0	0
2095	7445.62	0	1	0	0	0	0	0	0	0	0	0	0
731.1	2743.46	0	1	0	0	0	0	0	0	0	0	0	0
1356.1	2440.87	0	1	0	0	0	0	0	0	0	0	0	0
1469.9	4235.82	0	1	0	0	0	0	0	0	0	0	0	0
1382.2	3289.43	0	1	0	0	0	0	0	0	0	0	0	0
2293.48	4053.95	0	1	0	0	0	0	0	0	0	0	0	0
1127.73	2011.08	0	1	0	0	0	0	0	0	0	0	0	0
195.59	234.53	0	1	0	0	0	0	0	0	0	0	0	0
967.21	1138.27	0	1	0	0	0	0	0	0	0	0	0	0
3271.54	6692.27	0	1	0	0	0	0	0	0	0	0	0	0
5204.57	13911.81	0	1	0	0	0	0	0	0	0	0	0	0
2759.84	6394.9	0	1	0	0	0	0	0	0	0	0	0	0
47.33	NA	0	1	0	0	0	0	0	0	0	0	0	0
44.75	201.3	0	1	0	0	0	0	0	0	0	0	0	0
