Species,Stock,Region,Latitude,Longitude,AlongShore_Distance,StockNumber,BY,S,R
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1962,4,21.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1963,4.4,2.9
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1964,15,17.7
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1965,0.9,1
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1966,1.7,26.5
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1967,0.7,4.4
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1968,26.5,18.9
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1969,4.4,8.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1970,11.1,1.2
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1971,8.5,0.2
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1972,1.2,33
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1973,0.2,0.6
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1974,23,37.3
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1975,0.6,6.4
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1976,37.3,558.2
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1977,6.4,12.7
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1978,90.4,391.9
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1979,9.3,14.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1980,94,56.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1981,5.7,5.2
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1982,51.7,42.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1983,3.9,3.3
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1984,33,22.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1985,1.4,1.9
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1986,12.9,58.7
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1987,1.1,5.1
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1988,28.5,22.3
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1989,1.9,4.6
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1990,22.2,58.3
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1991,1.2,0.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1992,50,282.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1993,0.7,6.6
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1994,94.7,219.8
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1995,5.2,9.9
pink,AKPen NW,Alaska Peninsula,54.982,163.37,3141,36,1996,216.6,145.6
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1962,826.1,2417
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1963,886.5,3121.3
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1964,902.4,847.7
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1965,789.9,380.4
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1966,627.4,1391.4
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1967,327.3,2769
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1968,528.1,2386.27
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1969,1906.2,1699.94
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1970,1007.9,135.11
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1971,488,122.13
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1972,81.8,334.13
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1973,85.7,387.85
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1974,238.6,3119.81
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1975,357.8,3332
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1976,1084,6134.15
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1977,2168.5,6964.13
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1978,1966.3,5142.53
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1979,2125.1,5825.47
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1980,1410.4,5638.13
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1981,1875,2884.63
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1982,1533.2,8519.35
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1983,639.2,4553.14
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1984,2526.7,4252.06
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1985,1229.3,2447.77
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1986,1185.5,6336.99
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1987,1304.4,6761.57
pink,AKPen SE and Scentral,Alaska Peninsula,55.5,161,2988,37,1988,1636.5,2756.94
