"reg"	"year"	"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
"Southeast Alaska"	1972	"563.77"	"1293.57"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1974	"918.39"	"2468.75"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1976	"1432.7"	"5210.74"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1978	"926.98"	"2208.82"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1980	"1248.98"	"2382.83"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1982	"504.4"	"689.54"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1984	"284.62"	"501.1"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1986	"1176.89"	"1678.15"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1988	"1762.71"	"2610.39"	0	0	0	1	0	0	0	0	0	0	0	0
"Southeast Alaska"	1990	"3299.77"	"7176.67"	0	0	0	1	0	0	0	0	0	0	0	0
"BC Central Coast"	1972	"1861.03"	"3766.41"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1974	"1693.75"	"4842.51"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1976	"1663.9"	"4166.26"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1978	"2422.13"	"4572.27"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1980	"1266.03"	"2161.05"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1982	"304.62"	"348.89"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1984	"1108.83"	"1360.1"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1986	"3587.93"	"7167.75"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1988	"5464.83"	"14341.37"	0	1	0	0	0	0	0	0	0	0	0	0
"BC Central Coast"	1990	"3058.11"	"6850.92"	0	1	0	0	0	0	0	0	0	0	0	0
"BC North Coast"	1972	"1790.85"	"7256.09"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1974	"824.1"	"1571.32"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1976	"1636.39"	"3741.53"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1978	"1382.25"	"4356.23"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1980	"1045.28"	"3921.76"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1982	"567.47"	"1148.34"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1984	"830.7"	"1475.54"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1986	"2133.52"	"7130.74"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1988	"2020.88"	"9870.07"	0	0	1	0	0	0	0	0	0	0	0	0
"BC North Coast"	1990	"1830.8"	"4066.4"	0	0	1	0	0	0	0	0	0	0	0	0
"Bristol Bay"	1972	"8435.46"	"20828.46"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1974	"7044.46"	"11921.45"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1976	"10966.64"	"16260.64"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1978	"18683.6"	"39881.6"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1980	"17474.92"	"31806.92"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1982	"17999.22"	"42209.22"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1984	"27083.73"	"51712.73"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1986	"38305.83"	"84405.82"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1988	"13309.64"	"24382.01"	0	0	0	0	0	0	0	0	0	0	1	0
"Bristol Bay"	1990	"23400.33"	"55700.33"	0	0	0	0	0	0	0	0	0	0	1	0
"Norton Sound"	1972	"4.89"	NA	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1974	"66"	"69.72"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1976	"52.1"	"79.16"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1978	"375"	"403.91"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1980	"280"	"420.41"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1982	"66.4"	"74.47"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1984	"161.16"	"175.76"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1986	"285.7"	"292.44"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1988	"108.75"	"224.05"	0	0	0	0	0	0	0	0	0	0	0	1
"Norton Sound"	1990	"566.4"	"596.48"	0	0	0	0	0	0	0	0	0	0	0	1
"Alaska Peninsula"	1972	"456.67"	NA	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1974	"363.28"	"363.28"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1976	"603.46"	"2066.77"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1978	"499.84"	"2232.62"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1980	"962.04"	"5374.51"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1982	"1188.31"	"4901.47"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1984	"2194.11"	"7975.77"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1986	"556.89"	"3192.7"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1988	"582.9"	"1066"	0	0	0	0	0	0	0	0	0	1	0	0
"Alaska Peninsula"	1990	"861.32"	"8854.67"	0	0	0	0	0	0	0	0	0	1	0	0
"Cook Inlet"	1972	"49.1"	"52.1"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1974	"38.4"	"80.5"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1976	"90.1"	"100.3"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1978	"176.7"	"296.2"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1980	"664.2"	"1062.1"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1982	"242.3"	"443"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1984	"340.4"	"622.4"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1986	"1518.8"	"2371.9"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1988	"160.5"	"237.5"	0	0	0	0	0	0	1	0	0	0	0	0
"Cook Inlet"	1990	"224.8"	"420.3"	0	0	0	0	0	0	1	0	0	0	0	0
"Kodiak"	1980	"6455.84"	NA	0	0	0	0	0	0	0	1	0	0	0	0
"Kodiak"	1982	"5370.26"	"13270.01"	0	0	0	0	0	0	0	1	0	0	0	0
"Kodiak"	1984	"4519.95"	"15093.38"	0	0	0	0	0	0	0	1	0	0	0	0
"Kodiak"	1986	"4108.06"	"15270.16"	0	0	0	0	0	0	0	1	0	0	0	0
"Kodiak"	1988	"4406.45"	"18361.45"	0	0	0	0	0	0	0	1	0	0	0	0
"Kodiak"	1990	"6024.91"	"11469.91"	0	0	0	0	0	0	0	1	0	0	0	0
"Prince William Sound"	1972	"41.2"	"113.4"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1974	"227.6"	"297.2"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1976	"510.6"	"905.8"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1978	"912.1"	"1897.3"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1980	"742.2"	"1835.4"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1982	"389.3"	"1262.7"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1984	"1001.5"	"1446.3"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1988	"1657.9"	"4704.2"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1990	"1082"	"1632"	0	0	0	0	0	1	0	0	0	0	0	0
"Prince William Sound"	1986	"926.9"	"1382.7"	0	0	0	0	0	1	0	0	0	0	0	0
"BC South Coast"	1972	"112.6"	"172.87"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1974	"307.4"	"417.58"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1976	"1493.7"	"3836.3"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1978	"2949.1"	"8917.08"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1980	"2735.6"	"9368.66"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1982	"2344.7"	"7365.86"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1984	"4384.6"	"14523.29"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1986	"1729.6"	"5478.93"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1988	"2868.1"	"9762.9"	1	0	0	0	0	0	0	0	0	0	0	0
"BC South Coast"	1990	"1620.6"	"3966.74"	1	0	0	0	0	0	0	0	0	0	0	0
"Yakutat"	1972	"58.54"	"126.49"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1974	"585.52"	"999.13"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1976	"863.43"	"1603.02"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1978	"9386.48"	"13734.81"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1980	"2785.2"	"4987.74"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1982	"1656.66"	"2995.93"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1984	"2926.45"	"6053.61"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1986	"72.19"	"339.31"	0	0	0	0	1	0	0	0	0	0	0	0
"Yakutat"	1988	"494.61"	"738.5"	0	0	0	0	1	0	0	0	0	0	0	0
"Chignik"	1972	"178.09"	"225.59"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1974	"238.4"	"384.25"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1976	"74.77"	"156.92"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1978	"588.87"	NA	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1980	"1620.81"	"1906.76"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1982	"1779.22"	"2042.86"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1984	"3995.68"	"4148.07"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1986	"574.09"	"598.64"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1988	"423.31"	"464.84"	0	0	0	0	0	0	0	0	1	0	0	0
"Chignik"	1990	"660.72"	"663.45"	0	0	0	0	0	0	0	0	1	0	0	0
